data,label
29/01/2019,29-01-2019
12/10/19,12-10-2019
24 september 2050,24-09-2050
24/07/19,24-07-2019
den sextonde juni 2050,16-06-2050
12.08.2011,12-08-2011
20 augusti 2019,20-08-2019
19/04/11,19-04-2011
den tjugoåttonde 04 2050,28-04-2050
04.09.50,04-09-2050
17.08.2050,17-08-2050
04/12/19,04-12-2019
16 april 2011,16-04-2011
27.03.2050,27-03-2050
den tjugonionde september 2050,29-09-2050
den sjunde 01 2019,07-01-2019
den första 09 2050,01-09-2050
24/08/2050,24-08-2050
den tjugofjärde 09 2019,24-09-2019
12.05.19,12-05-2019
den femte 10 2050,05-10-2050
24.12.19,24-12-2019
27/01/2019,27-01-2019
16/09/19,16-09-2019
27 september 2019,27-09-2019
07 april 2019,07-04-2019
den artonde 01 2050,18-01-2050
12 mars 2050,12-03-2050
13/09/2011,13-09-2011
den sjätte 07 2019,06-07-2019
21.09.50,21-09-2050
den femte 11 2011,05-11-2011
02 mars 2019,02-03-2019
23/11/11,23-11-2011
den tjugoförsta 07 2050,21-07-2050
22/10/11,22-10-2011
den första 07 2050,01-07-2050
04.01.2050,04-01-2050
02.01.19,02-01-2019
den tjugoförsta 01 2011,21-01-2011
den fjärtonde 06 2011,14-06-2011
10/07/11,10-07-2011
11 januari 2050,11-01-2050
26.10.2050,26-10-2050
01/01/2050,01-01-2050
08/06/2050,08-06-2050
06.02.2050,06-02-2050
28.11.2050,28-11-2050
24/10/50,24-10-2050
05/05/2050,05-05-2050
01.01.19,01-01-2019
den sjuttonde mars 2050,17-03-2050
den femte 11 2050,05-11-2050
08/02/2050,08-02-2050
06 september 2019,06-09-2019
den tjugofjärde februari 2050,24-02-2050
den tjugoförsta 02 2011,21-02-2011
04.04.2050,04-04-2050
23/01/19,23-01-2019
10.05.50,10-05-2050
07/06/2011,07-06-2011
29.12.11,29-12-2011
15 augusti 2050,15-08-2050
14/12/19,14-12-2019
03.06.19,03-06-2019
05/03/19,05-03-2019
29.09.19,29-09-2019
21.02.50,21-02-2050
10/04/11,10-04-2011
den tjugofjärde 09 2011,24-09-2011
den nionde oktober 2019,09-10-2019
den trettonde november 2050,13-11-2050
den sjunde 01 2050,07-01-2050
den trettonde juli 2019,13-07-2019
02.09.11,02-09-2011
30/12/2019,30-12-2019
26.09.11,26-09-2011
17 juni 2050,17-06-2050
16/01/11,16-01-2011
31.08.2019,31-08-2019
18.03.2019,18-03-2019
15/02/2050,15-02-2050
25.01.2050,25-01-2050
05.02.50,05-02-2050
18.04.19,18-04-2019
24 januari 2011,24-01-2011
den nionde december 2019,09-12-2019
02/11/50,02-11-2050
den tredje september 2050,03-09-2050
26/08/11,26-08-2011
08/09/2050,08-09-2050
den artonde november 2011,18-11-2011
23.08.19,23-08-2019
den femte 07 2019,05-07-2019
02/03/11,02-03-2011
02 april 2011,02-04-2011
02.08.2019,02-08-2019
22 februari 2050,22-02-2050
23 juni 2050,23-06-2050
14/01/11,14-01-2011
16 januari 2019,16-01-2019
den tionde juni 2019,10-06-2019
den tjugofemte 03 2011,25-03-2011
05.03.2050,05-03-2050
02/11/2019,02-11-2019
19 december 2019,19-12-2019
den tjugotredje september 2019,23-09-2019
23/09/11,23-09-2011
11/12/2050,11-12-2050
21.03.2019,21-03-2019
30/10/50,30-10-2050
12/08/2019,12-08-2019
den tjugosjätte 03 2019,26-03-2019
den nionde 04 2050,09-04-2050
29.04.50,29-04-2050
den sjunde 08 2019,07-08-2019
den tjugofjärde februari 2019,24-02-2019
08/02/2019,08-02-2019
25/05/2011,25-05-2011
26.11.11,26-11-2011
03.02.11,03-02-2011
29.05.2050,29-05-2050
22.09.19,22-09-2019
31.10.11,31-10-2011
den tjugonionde 12 2019,29-12-2019
22 januari 2019,22-01-2019
den tredje september 2011,03-09-2011
29.07.50,29-07-2050
den nionde november 2019,09-11-2019
01 november 2019,01-11-2019
28.08.2050,28-08-2050
22 maj 2011,22-05-2011
den tjugonionde januari 2011,29-01-2011
19/05/50,19-05-2050
25/11/11,25-11-2011
den tredje augusti 2050,03-08-2050
01.12.50,01-12-2050
09 augusti 2019,09-08-2019
04/09/2011,04-09-2011
11/03/2011,11-03-2011
den trettioförsta mars 2019,31-03-2019
den trettonde februari 2050,13-02-2050
den artonde augusti 2011,18-08-2011
11.03.50,11-03-2050
21/11/50,21-11-2050
08.11.2050,08-11-2050
29/10/11,29-10-2011
den trettioförsta 05 2011,31-05-2011
21/12/2011,21-12-2011
14.07.2050,14-07-2050
21.12.2050,21-12-2050
06 juli 2050,06-07-2050
14.06.19,14-06-2019
03.09.19,03-09-2019
30/05/2011,30-05-2011
27/08/2019,27-08-2019
11.05.2050,11-05-2050
13/03/19,13-03-2019
den trettonde 12 2019,13-12-2019
29/10/2019,29-10-2019
11 maj 2019,11-05-2019
22.04.2019,22-04-2019
den nionde oktober 2050,09-10-2050
13 maj 2019,13-05-2019
17.02.11,17-02-2011
27.05.2050,27-05-2050
18.02.2011,18-02-2011
29.01.50,29-01-2050
den tjugoförsta 05 2019,21-05-2019
