data,label
семндацатое августа 2019,17-08-2019
04.07.2019,04-07-2019
28/06/19,28-06-2019
23/06/2011,23-06-2011
четвертого 01 2011,04-01-2011
двадцать шестое 08 2011,26-08-2011
двадцать пятого 02 2011,25-02-2011
24.05.11,24-05-2011
07/01/2019,07-01-2019
двадцать третье 12 2050,23-12-2050
первого февраля 2050,01-02-2050
шестое 02 2019,06-02-2019
девятнадцатого мая 2011,19-05-2011
25/03/2019,25-03-2019
двадцать четвертое мая 2019,24-05-2019
15.02.2011,15-02-2011
27/11/50,27-11-2050
двадцать первое марта 2019,21-03-2019
восемнадцатое октября 2011,18-10-2011
01.09.11,01-09-2011
третьего 01 2011,03-01-2011
05.02.50,05-02-2050
тридцатого августа 2050,30-08-2050
12.01.2019,12-01-2019
10/09/50,10-09-2050
23.12.2011,23-12-2011
06 декабря 2050,06-12-2050
24 ноября 2019,24-11-2019
20/11/50,20-11-2050
06 октября 2050,06-10-2050
09.10.2019,09-10-2019
28/12/2050,28-12-2050
08/02/19,08-02-2019
15.05.11,15-05-2011
24/08/11,24-08-2011
05.12.2019,05-12-2019
20.02.2050,20-02-2050
шестого августа 2011,06-08-2011
двадцать пятое 02 2050,25-02-2050
третье июня 2050,03-06-2050
06/03/50,06-03-2050
20/10/2050,20-10-2050
23/03/2019,23-03-2019
16.04.19,16-04-2019
двадцать второе 06 2050,22-06-2050
второго 02 2011,02-02-2011
четырнадцатое 02 2011,14-02-2011
03.02.2019,03-02-2019
14.05.2050,14-05-2050
четырнадцатого 12 2019,14-12-2019
пятого февраля 2019,05-02-2019
17.12.2019,17-12-2019
двадцать седьмое 09 2019,27-09-2019
30 июля 2050,30-07-2050
09.12.2019,09-12-2019
08/01/2011,08-01-2011
двадцать третье июня 2019,23-06-2019
десятое октября 2050,10-10-2050
седьмого августа 2011,07-08-2011
третье 01 2019,03-01-2019
27/06/19,27-06-2019
пятого июля 2011,05-07-2011
тринадцатое марта 2019,13-03-2019
14 сентября 2011,14-09-2011
двадцать шестое 03 2050,26-03-2050
22.08.11,22-08-2011
второе 09 2050,02-09-2050
08/05/19,08-05-2019
02/12/2050,02-12-2050
04.02.19,04-02-2019
02.10.2019,02-10-2019
15.10.50,15-10-2050
24/01/50,24-01-2050
четвертого 09 2011,04-09-2011
двадцать пятого 10 2011,25-10-2011
двадвацть четвертого июня 2050,24-06-2050
двадцать первое 04 2019,21-04-2019
10 октября 2019,10-10-2019
первое 01 2050,01-01-2050
28/11/19,28-11-2019
двадцать восьмое 07 2019,28-07-2019
двадцать седьмое 12 2050,27-12-2050
10.04.11,10-04-2011
18.04.50,18-04-2050
05.08.2050,05-08-2050
27 апреля 2019,27-04-2019
03.06.19,03-06-2019
01 июля 2019,01-07-2019
15.09.11,15-09-2011
25 сентября 2019,25-09-2019
двендацатое 06 2011,12-06-2011
13/10/2050,13-10-2050
восьмое октября 2019,08-10-2019
29 апреля 2019,29-04-2019
пятнадцатого декабря 2050,15-12-2050
09/04/11,09-04-2011
двендацатое 01 2011,12-01-2011
20 февраля 2019,20-02-2019
20.05.50,20-05-2050
08/06/50,08-06-2050
25.11.50,25-11-2050
13/09/11,13-09-2011
23 августа 2019,23-08-2019
15 марта 2050,15-03-2050
02/07/2011,02-07-2011
пятнадцатого 07 2011,15-07-2011
двадцать первое 12 2019,21-12-2019
21 ноября 2011,21-11-2011
двадцать восьмое 03 2019,28-03-2019
31/08/2011,31-08-2011
двадцать восьмое сентября 2019,28-09-2019
первого июня 2050,01-06-2050
одинадцатое 05 2019,11-05-2019
шестого 04 2019,06-04-2019
четвертого декабря 2050,04-12-2050
второе 07 2050,02-07-2050
шестого марта 2019,06-03-2019
двадцать пятого апреля 2011,25-04-2011
22.12.19,22-12-2019
20.03.19,20-03-2019
девятого сентября 2019,09-09-2019
29/10/19,29-10-2019
17/02/50,17-02-2050
двадцать первого 01 2050,21-01-2050
восьмого 11 2011,08-11-2011
15 января 2050,15-01-2050
14/06/19,14-06-2019
четырнадцатое сентября 2050,14-09-2050
12/09/11,12-09-2011
третье 12 2019,03-12-2019
тридцать первого июля 2019,31-07-2019
двадцать пятого ноября 2019,25-11-2019
22/11/50,22-11-2050
одинадцатое июля 2050,11-07-2050
двенадцатого 01 2050,12-01-2050
20/06/11,20-06-2011
двадцать восьмого 05 2011,28-05-2011
08/03/2019,08-03-2019
семндацатое июня 2050,17-06-2050
09 марта 2019,09-03-2019
третье 10 2050,03-10-2050
04.05.50,04-05-2050
одинадцатого 06 2050,11-06-2050
двенадцатого 07 2019,12-07-2019
23/02/11,23-02-2011
28/07/2050,28-07-2050
третьего 05 2011,03-05-2011
восьмого 09 2011,08-09-2011
15/06/2050,15-06-2050
семндацатое сентября 2050,17-09-2050
06.03.11,06-03-2011
двадцать третье июля 2011,23-07-2011
20 апреля 2050,20-04-2050
двадцать девятого 07 2011,29-07-2011
26 января 2011,26-01-2011
05.04.19,05-04-2019
восемнадцатое 10 2019,18-10-2019
02.08.50,02-08-2050
третьего декабря 2050,03-12-2050
04/10/2011,04-10-2011
11/09/11,11-09-2011
12 декабря 2011,12-12-2011
04.01.50,04-01-2050
17.08.2011,17-08-2011
11/06/2011,11-06-2011
10.07.11,10-07-2011
пятое 11 2019,05-11-2019
20/11/19,20-11-2019
05 августа 2011,05-08-2011
третьего марта 2019,03-03-2019
05/05/2050,05-05-2050
первого июля 2050,01-07-2050
девятое января 2011,09-01-2011
28.09.50,28-09-2050
31.01.2019,31-01-2019
21/10/50,21-10-2050
четырнадцатое марта 2011,14-03-2011
02/09/19,02-09-2019
двадцать восьмое 03 2011,28-03-2011
10.09.2011,10-09-2011
двадцать третье мая 2050,23-05-2050
тринадцатое марта 2011,13-03-2011
второе июня 2011,02-06-2011
восьмого марта 2011,08-03-2011
04/08/50,04-08-2050
10.02.19,10-02-2019
02 апреля 2050,02-04-2050
двадцать седьмое 03 2019,27-03-2019
13/10/2019,13-10-2019
05 июня 2019,05-06-2019
двадвацть четвертого 03 2050,24-03-2050
девятнадцатое 10 2050,19-10-2050
03.08.19,03-08-2019
двадцать первого ноября 2019,21-11-2019
07.05.2050,07-05-2050
четырнадцатого 12 2011,14-12-2011
20 января 2011,20-01-2011
двадцать третьего 06 2050,23-06-2050
тридцатого 06 2011,30-06-2011
тринадцатое 09 2019,13-09-2019
тринадцатое ноября 2019,13-11-2019
тридцатое декабря 2050,30-12-2050
03/03/50,03-03-2050
одинадцатое 02 2019,11-02-2019
первого июня 2019,01-06-2019
пятнадцатого декабря 2011,15-12-2011
22 июля 2050,22-07-2050
08 июня 2019,08-06-2019
19/06/2050,19-06-2050
двадцать первое 05 2050,21-05-2050
двадцать третьего октября 2019,23-10-2019
